,id,subcategory,subsubcatergory,brand,product,barcode,builders_sku,leroy_sku,buco_sku,cashbuild_sku,builders_price,leroy_price,buco_price,cashbuild_price
0,1,Cement,"42,5",NPC,NPC 42.5N Plus Cement - Black (50kg),6006077000022.0,627935,0,1203434,0,77.8,,86.73,
1,2,Cement,"32,5",NPC,NPC 32.5N Plus Cement - Blue (50kg),6009194412396.0,627940,0,1161188,0,75.0,,81.28,
2,3,Cement,"42,5",PPC,PPC Surebuild 42.5N Cement (50kg),6003543000326.0,627933,0,1016533,0,92.0,,93.45,
3,4,Cement,"52,5",PPC,PPC Surebuild 52.5N Cement (50kg),6009161768846.0,639106,0,0,0,114.0,,,
4,5,Cement,"32,5",PPC,PPC Surebuild 32.5N Cement (50kg),6009149254088.0,517797,81424182,1313309,0,92.0,75.00,82.89,
5,6,Cement,"32,5",Sephaku,Sephaku 32.5N Building Cement (50kg),6009194458998.0,634913,0,1255586,303275,76.0,,77.95,69.95
6,7,Cement,"42,5",Sephaku,Sephaku 42.5N Cement (50kg),6009149549979.0,627953,0,1231008,0,89.0,,88.94,
7,8,Cement,"32,5",Builders Pride,Builders Pride General Purpose Cement (50kg),6009194608171.0,655546,0,0,0,69.95,,,
8,9,Cement,"32,5",KBC,KBC Cement 32.5N (50kg),7000083855206.0,0,81412024,0,0,,67.50,,
9,10,Cement,"42,5",Afrisam,Afrisam Cement 42.5N (50kg) ALL PURPOSE,6009601580410.0,0,81422547,1179899,0,,98.00,102.90,
10,11,Cement,"42,5",KBC,KBC Cement 42.5N (50kg),6009210005076.0,0,81412025,0,0,,82.50,,
11,12,Cement,"32,5",Afrisam,Afrisam Cement 32.5N (50kg) STARBUILD,6009601580731.0,0,81422548,1291750,0,,76.00,86.05,
12,13,Cement,"42,5",Lafarge,Lafarge Cement 42.5N BUILDCRETE (50kg),6009210018809.0,0,81437685,0,0,,88.00,,
13,14,Cement,"32,5",Lafarge,Lafarge Cement 32.5N DURABUILD (50kg),6009210018793.0,0,81437684,1035145,0,,75.00,86.42,
14,15,Cement,"42,5",Champion,"Champion Cement 42,5N (50kg)",0.0,0,0,0,305661,,,,89.90
